Y,X,Comment,GPS_Date,GPS_Time
26.5316773277259,-78.7030179369536,C.L. Griffin Community Park,2013/07/26,02:14:20pm
26.5226402806551,-78.7239470766922,Neko Grant Community Park,2013/07/26,02:25:15pm
26.5132810241964,-78.736589643689,Adena Medows Communit Park,2013/07/26,02:32:20pm
26.5325330999606,-78.687313150659,Charlie Robins Recreation Facil,2013/07/26,02:51:20pm
26.5345390914124,-78.6727212043784,Richard Gaitor Community Park,2013/07/26,03:01:35pm
26.5322103462126,-78.6749461768255,Erro Bodie Community Park,2013/07/26,03:04:45pm
26.526404859509,-78.6706770950721,Zenobia Kemp Community Park,2013/07/26,03:25:30pm
26.5405846719719,-78.7154767718215,Jim White Field,,
26.5370436819305,-78.6931810299654,St. Pauls Track,,
26.5177519484734,-78.6870287367248,Mary Star Sport Field,,
26.5215167862456,-78.6714529943675,Independence Park,,
26.5191972579132,-78.6737966142624,Bishop Micheal Eldon Sport Field,,
26.5434585530402,-78.677071077653,Freeport Sports Field,,
26.5546041741881,-78.6001399182722,Cheseapeake Park,,
26.4973355606708,-78.6686191763071,Royal Bahamian Estates Park,,
26.5169461317452,-78.6661850241373,Coral Gardens Park,,
26.5380675404568,-78.7444802683186,Queen's Cove Park,,
26.5338992914582,-78.6590317075807,Moon McPhee Park,,
26.5382686160572,-78.6718439966646,Rand Nature Center,,
26.5532391491631,-78.5737231811651,Garden of the Grooves,,
